contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Expiration,Date,Time_to_Expiration,Underlying_Price,Implied_Volatility,BT_Price,Delta,Gamma,Theta,Vega,Rho
AAPL250321C00005000,2025-03-13 13:30:06+00:00,5.0,207.01,207.4,209.25,-3.4100037,-1.6205702,1.0,43,16.843754736328126,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,16.843754736328126,208.7393610600399,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00010000,2025-03-12 13:42:10+00:00,10.0,203.0,202.45,204.2,-8.460007,-4.00076,1.0,30,12.804689497070314,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,12.804689497070314,203.68567728029703,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00015000,2025-03-07 19:12:10+00:00,15.0,223.85,197.4,199.25,0.0,0.0,1.0,0,10.996096877441406,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,10.996096877441406,198.69240396197944,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00020000,2025-03-12 15:28:19+00:00,20.0,196.55,192.45,194.2,0.0,0.0,8.0,1,9.574222766113284,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,9.574222766113284,193.6663226693842,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00025000,2025-02-12 16:26:48+00:00,25.0,210.01,187.4,189.25,0.0,0.0,2.0,2,8.714848303222656,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,8.714848303222656,188.68058024758048,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00030000,2024-12-26 14:49:35+00:00,30.0,229.0,199.9,200.65,0.0,0.0,,0,20.149417765808103,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,20.149417765808103,194.95539317094145,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00035000,2025-03-03 20:36:45+00:00,35.0,201.75,177.4,179.25,0.0,0.0,3.0,4,7.308594614257812,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,7.308594614257812,178.67683669696817,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00040000,2025-03-12 15:51:22+00:00,40.0,177.52,172.45,174.25,0.0,0.0,1.0,1,6.76562654296875,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,6.76562654296875,173.67631332794866,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00045000,2024-12-27 16:43:30+00:00,45.0,209.4,189.95,192.5,0.0,0.0,2.0,1,17.589848253173827,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,17.589848253173827,184.06995096553234,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00050000,2025-02-03 19:58:38+00:00,50.0,178.95,184.3,184.8,0.0,0.0,6.0,85,15.463867522583007,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,15.463867522583007,177.40289126238915,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00055000,2025-03-05 15:04:07+00:00,55.0,177.4,157.4,159.3,0.0,0.0,1.0,7,5.562503046874999,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,5.562503046874999,158.69702719910785,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00060000,2025-03-12 13:42:10+00:00,60.0,161.51,152.45,154.25,0.0,0.0,1.0,18,5.164066044921874,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,5.164066044921874,153.68073954266416,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00065000,2025-03-05 18:07:32+00:00,65.0,170.3,147.45,149.3,0.0,0.0,2.0,26,4.908206989746093,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,4.908206989746093,148.70046495782398,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00070000,2025-03-12 13:48:03+00:00,70.0,150.74,142.5,144.25,0.0,0.0,1.0,73,4.570316787109375,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,4.570316787109375,143.6851503190867,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00075000,2025-03-03 20:36:45+00:00,75.0,161.85,137.45,139.3,0.0,0.0,4.0,24,4.353520183105467,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,4.353520183105467,138.70438568619286,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00080000,2025-02-25 19:10:47+00:00,80.0,168.05,132.5,134.25,0.0,0.0,3.0,37,4.059575238037109,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,4.059575238037109,133.68966519202033,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00085000,2025-02-06 15:09:25+00:00,85.0,148.59,153.95,154.4,0.0,0.0,26.0,193,11.007815620117189,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,11.007815620117189,145.33052446325135,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00090000,2025-02-05 16:42:37+00:00,90.0,140.5,149.0,149.5,0.0,0.0,5.0,96,10.448245657348634,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,10.448245657348634,140.41783003903353,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00095000,2025-03-12 13:48:03+00:00,95.0,125.86,117.45,119.7,0.0,0.0,1.0,15,2.50781623046875,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.50781623046875,118.5101661583595,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00100000,2025-03-13 17:45:10+00:00,100.0,110.76,112.5,114.75,0.0,0.0,13.0,471,2.488285029296875,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.488285029296875,113.51960468724535,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00105000,2025-03-10 19:50:00+00:00,105.0,106.75,107.45,109.75,-15.699997,-12.821558,1.0,73,2.281254296875,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.281254296875,108.5153022246549,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00110000,2025-03-12 13:45:36+00:00,110.0,103.13,102.5,103.75,-7.9300003,-7.1402845,6.0,195,2.400394624023437,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.400394624023437,103.54885077658011,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00115000,2025-03-07 18:11:14+00:00,115.0,125.5,97.45,99.35,0.0,0.0,2.0,50,2.74219064453125,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.74219064453125,98.74523036200794,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00120000,2025-03-13 19:45:31+00:00,120.0,93.35,92.5,94.3,4.3600006,4.899428,2.0,27,2.5478551928710935,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.5478551928710935,93.73008935951039,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00125000,2025-03-13 14:36:06+00:00,125.0,89.35,87.5,89.35,0.0,0.0,1.0,141,2.4179727050781246,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.4179727050781246,88.75634115070606,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00130000,2025-03-12 15:32:12+00:00,130.0,83.35,82.55,84.3,-3.75,-4.305396,1.0,455,2.2382856542968748,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,2.2382856542968748,83.74132069937858,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00135000,2025-03-14 14:46:26+00:00,135.0,76.57,77.5,78.8,-2.3199997,-2.9408033,10.0,247,1.7714855175781248,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,1.7714855175781248,78.57142322602324,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL250321C00140000,2025-03-14 17:46:00+00:00,140.0,72.1,72.55,74.3,-8.5,-10.545906,1.0,560,1.9501955615234376,True,REGULAR,USD,call,2025-03-21,2025-03-16 14:38:11.047828,0.010958904109589041,213.49000549316406,1.9501955615234376,73.75100056378591,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
